#Unit,Date,PageNum,PageID,Place1,Place2,Place3,activity,count,Place1_Geo,Place2_Geo,Place3_Geo,Location,longitude,latitude,name
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,1916-04-27,40,AWD0000n42,Kemmel,Kemmel Shelters,,activity:strength,1.0,"[2.8258709, 50.7828552, 'Kemmel']",,,"[2.8258709, 50.7828552, 'Kemmel']",2.8258709,50.7828552,Kemmel
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,1916-04-28,40,AWD0000n42,Lindenhoek,Kemmel,,activity:strength,1.0,"[2.8166699999999998, 50.766669999999998, 'Lindenhoek']","[2.8258709, 50.7828552, 'Kemmel']",,"[2.8166699999999998, 50.766669999999998, 'Lindenhoek']",2.81667,50.76667,Lindenhoek
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,1916-04-30,41,AWD0000n3h,Kemmel,Lindenhoek,Kemmel Trenches,activity:strength,2.0,"[2.8258709, 50.7828552, 'Kemmel']","[2.8166699999999998, 50.766669999999998, 'Lindenhoek']",,"[2.8258709, 50.7828552, 'Kemmel']",2.8258709,50.7828552,Kemmel
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,1916-05-04,45,AWD0000n6u,Kemmel Shelters,Kemmel,,activity:strength,1.0,,"[2.8258709, 50.7828552, 'Kemmel']",,"[2.8258709, 50.7828552, 'Kemmel']",2.8258709,50.7828552,Kemmel
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,1916-05-05,45,AWD0000n6u,Kemmel,,,activity:strength,1.0,"[2.8258709, 50.7828552, 'Kemmel']",,,"[2.8258709, 50.7828552, 'Kemmel']",2.8258709,50.7828552,Kemmel
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,1916-05-13,47,AWD0000n3q,Kemmel Shelters,Kemmel,,activity:strength,4.0,,"[2.8258709, 50.7828552, 'Kemmel']",,"[2.8258709, 50.7828552, 'Kemmel']",2.8258709,50.7828552,Kemmel
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,1916-05-16,47 48,AWD0000n3q AWD0000n46,Kemmel,,,activity:strength,3.0,"[2.8258709, 50.7828552, 'Kemmel']",,,"[2.8258709, 50.7828552, 'Kemmel']",2.8258709,50.7828552,Kemmel
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,1916-05-18,48,AWD0000n46,Kemmel,,,activity:strength,1.0,"[2.8258709, 50.7828552, 'Kemmel']",,,"[2.8258709, 50.7828552, 'Kemmel']",2.8258709,50.7828552,Kemmel
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,1916-05-20,48,AWD0000n46,Kemmel,,,activity:strength,1.0,"[2.8258709, 50.7828552, 'Kemmel']",,,"[2.8258709, 50.7828552, 'Kemmel']",2.8258709,50.7828552,Kemmel
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,1916-05-23,49,AWD0000n75,Locre,,,activity:strength,4.0,"[11.232014100000001, 45.711117600000001, 'Locre']",,,"[11.232014100000001, 45.711117600000001, 'Locre']",11.2320141,45.7111176,Locre
