#Unit,Date,PageNum,PageID,Place1,Place2,Place3,activity,count,Place1_Geo,Place2_Geo,Place3_Geo,Location,longitude,latitude,name
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1918-09-13,299,AWD0000mu5,Behagnies,,,domestic:parades,2.0,"[2.83399, 50.14179, 'Behagnies']",,,"[2.83399, 50.14179, 'Behagnies']",2.83399,50.14179,Behagnies
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1918-09-22,302,AWD0000mvs,Beaumetz,,,domestic:parades,1.0,"[2.11965, 50.140949999999997, 'Beaumetz']",,,"[2.11965, 50.140949999999997, 'Beaumetz']",2.11965,50.14095,Beaumetz
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1918-09-26,303,AWD0000mum,Beaumetz,,,domestic:parades,4.0,"[2.11965, 50.140949999999997, 'Beaumetz']",,,"[2.11965, 50.140949999999997, 'Beaumetz']",2.11965,50.14095,Beaumetz
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1918-09-30,306,AWD0000myu,Ribecourt,Beaumetz,,domestic:parades,2.0,"[3.1307700000000001, 50.110579999999999, 'Ribecourt-la-Tour']","[2.11965, 50.140949999999997, 'Beaumetz']",,"[3.1307700000000001, 50.110579999999999, 'Ribecourt-la-Tour']",3.13077,50.11058,Ribecourt-la-Tour
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1918-10-14,309,AWD0000mup,Marcoing,Ribecourt,,domestic:parades,3.0,"[3.1737000000000002, 50.115299999999998, 'Marcoing']","[3.1307700000000001, 50.110579999999999, 'Ribecourt-la-Tour']",,"[3.1737000000000002, 50.115299999999998, 'Marcoing']",3.1737,50.1153,Marcoing
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1918-10-17,310,AWD0000mw0,Ribecourt,,,domestic:parades,1.0,"[3.1307700000000001, 50.110579999999999, 'Ribecourt-la-Tour']",,,"[3.1307700000000001, 50.110579999999999, 'Ribecourt-la-Tour']",3.13077,50.11058,Ribecourt-la-Tour
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1918-10-20,310,AWD0000mw0,Catteniers,,,domestic:parades,1.0,"[3.3344999999999998, 50.134590000000003, 'Cattenieres']",,,"[3.3344999999999998, 50.134590000000003, 'Cattenieres']",3.3345,50.13459,Cattenieres
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1918-10-22,310,AWD0000mw0,Catteniers,Solesmes,,domestic:parades,1.0,"[3.3344999999999998, 50.134590000000003, 'Cattenieres']","[3.4975922999999995, 50.185753399999996, 'Solesmes']",,"[3.3344999999999998, 50.134590000000003, 'Cattenieres']",3.3345,50.13459,Cattenieres
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1918-10-31,312 314,AWD0000mv3 AWD0000n1s,Boussieres,Garniers,Quievy,domestic:parades,6.0,"[3.3669840999999998, 50.165202899999997, 'Boussières-en-Cambrésis']","[6.1411977000000002, 45.572988600000002, 'Les Garniers']","[3.4269018999999998, 50.165935799999993, 'Quiévy']","[3.3669840999999998, 50.165202899999997, 'Boussières-en-Cambrésis']",3.3669841,50.1652029,Boussières-en-Cambrésis
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1918-11-02,314,AWD0000n1s,Carnieres,,,domestic:parades,1.0,"[7.3322205999999994, 45.711971200000008, 'Les Carnieres']",,,"[7.3322205999999994, 45.711971200000008, 'Les Carnieres']",7.332220599999999,45.71197120000001,Les Carnieres
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1918-11-02,314,AWD0000n1s,Carnieres,,,domestic:parades,10.0,"[7.3322205999999994, 45.711971200000008, 'Les Carnieres']",,,"[7.3322205999999994, 45.711971200000008, 'Les Carnieres']",7.332220599999999,45.71197120000001,Les Carnieres
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1918-11-03,314,AWD0000n1s,Quievy,Carnieres,,domestic:parades,2.0,"[3.4269018999999998, 50.165935799999993, 'Quiévy']","[7.3322205999999994, 45.711971200000008, 'Les Carnieres']",,"[3.4269018999999998, 50.165935799999993, 'Quiévy']",3.4269019,50.16593579999999,Quiévy
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1918-11-05,314,AWD0000n1s,Romeries,Quievy,,domestic:parades,7.0,"[3.5340780000000001, 50.202425399999996, 'Romeries']","[3.4269018999999998, 50.165935799999993, 'Quiévy']",,"[3.5340780000000001, 50.202425399999996, 'Romeries']",3.534078,50.202425399999996,Romeries
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1918-11-07,314,AWD0000n1s,Romeries,,,domestic:parades,7.0,"[3.5340780000000001, 50.202425399999996, 'Romeries']",,,"[3.5340780000000001, 50.202425399999996, 'Romeries']",3.534078,50.202425399999996,Romeries
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1918-11-11,315,AWD0000mtq,La Longueville,,,domestic:parades,5.0,"[3.8665192000000004, 50.295622100000003, 'La Longueville']",,,"[3.8665192000000004, 50.295622100000003, 'La Longueville']",3.8665192000000004,50.2956221,La Longueville
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1918-11-13,315,AWD0000mtq,La Longueville,,,domestic:parades,1.0,"[3.8665192000000004, 50.295622100000003, 'La Longueville']",,,"[3.8665192000000004, 50.295622100000003, 'La Longueville']",3.8665192000000004,50.2956221,La Longueville
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1918-11-14,315,AWD0000mtq,La Longueville,,,domestic:parades,1.0,"[3.8665192000000004, 50.295622100000003, 'La Longueville']",,,"[3.8665192000000004, 50.295622100000003, 'La Longueville']",3.8665192000000004,50.2956221,La Longueville
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1918-11-15,315,AWD0000mtq,La Longueville,,,domestic:parades,4.0,"[3.8665192000000004, 50.295622100000003, 'La Longueville']",,,"[3.8665192000000004, 50.295622100000003, 'La Longueville']",3.8665192000000004,50.2956221,La Longueville
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1918-11-17,315,AWD0000mtq,Hautmont,,,domestic:parades,1.0,"[3.9200611000000003, 50.251370399999999, 'Hautmont']",,,"[3.9200611000000003, 50.251370399999999, 'Hautmont']",3.9200611000000003,50.2513704,Hautmont
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1918-11-23,316,AWD0000mwo,Cousolre,,,domestic:parades,7.0,"[4.1523120999999996, 50.245261499999998, 'Cousolre']",,,"[4.1523120999999996, 50.245261499999998, 'Cousolre']",4.1523121,50.2452615,Cousolre
